"date","holder_id"
"2025-03-22 14:00:00+00","ff2c177f-7ed9-42a1-8180-2cef8f0c072f"
"2025-03-23 10:00:00+00","ff2c177f-7ed9-42a1-8180-2cef8f0c072f"
"2025-03-23 14:00:00+00","ff2c177f-7ed9-42a1-8180-2cef8f0c072f"
"2025-03-24 14:00:00+00","ff2c177f-7ed9-42a1-8180-2cef8f0c072f"
"2025-03-25 14:00:00+00","ff2c177f-7ed9-42a1-8180-2cef8f0c072f"
"2025-03-26 14:00:00+00","ff2c177f-7ed9-42a1-8180-2cef8f0c072f"
"2025-03-27 14:00:00+00","b3d480e4-f868-4c7f-bc3d-3db38c62a38a"
"2025-03-28 14:00:00+00","b3d480e4-f868-4c7f-bc3d-3db38c62a38a"
"2025-03-29 14:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
"2025-03-30 10:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
"2025-03-30 14:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
"2025-03-31 14:00:00+00","f5f3efe6-36ee-4d5b-81e7-0e380b1e4785"
"2025-04-01 14:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
"2025-04-02 14:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
"2025-04-03 14:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
"2025-04-04 14:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
"2025-04-05 10:00:00+00","9f40dba6-7f53-4f4c-a1d5-54aad2ae9058"
