"date","holder_id"
"2025-03-22 14:00:00+00","ccfb2098-6fde-405f-ba80-2b153bab89ef"
"2025-03-23 10:00:00+00","ccfb2098-6fde-405f-ba80-2b153bab89ef"
"2025-03-23 14:00:00+00","278e27c7-c1d0-47eb-a17e-206dfae0ab54"
"2025-03-24 14:00:00+00","97695455-d3ab-49ae-9feb-f385117e360a"
"2025-03-25 14:00:00+00","0d7f55eb-c101-4366-b01c-12c78dd0dc42"
"2025-03-26 14:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-03-27 14:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-03-28 14:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-03-29 14:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-03-30 10:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-03-30 14:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-03-31 14:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-04-01 14:00:00+00","3a281f9b-1b23-4a3f-ac3a-887571c96612"
"2025-04-02 14:00:00+00","24dfbdaa-8839-4692-bec5-ba213062c9e9"
"2025-04-03 14:00:00+00","24dfbdaa-8839-4692-bec5-ba213062c9e9"
"2025-04-04 14:00:00+00","24dfbdaa-8839-4692-bec5-ba213062c9e9"
"2025-04-05 10:00:00+00","24dfbdaa-8839-4692-bec5-ba213062c9e9"
